run_id,launched_at,system,level,arm,predictor,score_mode,d2_ratio,seed,n_members,k_acq,cluster,job_id,status,epochs_on_disk,dir_state,code_hash,output_dir,notes
gt_cp_dir00_s42,2026-08-17T00:07:12,cartpole,med,dir00,fm,,1.0,42,5,20,ilab,210866,launched,12,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/cp_dir00_s42,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 300/150/12. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_cp_yield_a1,2026-08-17T00:07:12,cartpole,med,yield_a1,fm,,1.0,42,5,20,ilab,210867,launched,12,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/cp_yield_a1,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 300/150/12. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_dir00_s42,2026-08-17T00:07:12,pendulum,med,dir00,fm,,1.0,42,5,20,ilab,210852,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_dir00_s42,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_dir00_s43,2026-08-17T00:07:12,pendulum,med,dir00,fm,,1.0,43,5,20,ilab,210853,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_dir00_s43,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_dir00_s44,2026-08-17T00:07:12,pendulum,med,dir00,fm,,1.0,44,5,20,ilab,210854,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_dir00_s44,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_epi_bald,2026-08-17T00:07:12,pendulum,med,epi_bald,fm,,1.0,42,5,20,ilab,210856,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_epi_bald,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_epi_var,2026-08-17T00:07:12,pendulum,med,epi_var,fm,,1.0,42,5,20,ilab,210855,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_epi_var,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_yield_a1,2026-08-17T00:07:12,pendulum,med,yield_a1,fm,,1.0,42,5,20,ilab,210869,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_yield_a1,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
gt_pen_yield_mlp,2026-08-17T00:07:12,pendulum,med,yield_mlp,fm,,1.0,42,5,20,ilab,210858,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/gaussian_torque/pen_yield_mlp,"NEW datasets stochastic/{pendulum/gaussian_signal,cartpole/noisy_torque}/lqr/med, budget 100/100/20. Coupling INVERTS between systems: pendulum L_fail/L_succ=5.44, cartpole=0.16. attractor_radius kept 0.1/0.2 by decision -- it defines predicted p_success so it inflates KL, shared by all arms."
fm_high_i100_yield_mlp,2026-08-16T21:27:00,pendulum,high,yield_mlp,fm,,1.0,42,5,20,ilab,210698,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_yield_mlp,"i100: yield weight with MLP(64,64) length model refit per epoch, chosen against kNN by held-out MSE each epoch. Pool benchmark MLP R2 0.757 vs kNN 0.681 at n=100; but a unit test found the MLP can invert ordering at small n, hence the per-epoch bake-off. Bounded below by yield_knn."
fm_high_i100_yield_knn,2026-08-16T19:09:12,pendulum,high,yield_knn,fm,,1.0,42,5,20,ilab,210623,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_yield_knn,i100: yield weight with LEARNED length model (kNN regression on acquired start_state->true length) replacing the p_bar two-point mixture. 98.7% of Var(L) is the outcome label; kNN R2 0.687 at n=100 vs p_bar error ~0.8 at ep0. Targets the 6-8 epochs the weight is inert.
fm_high_i100_length_only,2026-08-16T12:21:06,pendulum,high,length_only,fm,,1.0,42,5,20,ilab,210229,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_length_only,i100: E[L]-only control. Isolates the yield weight from the epistemic score; if it matches epi_var_yield the win is just 'buy long trajectories'.
fm_high_i100_yield_a05,2026-08-16T12:21:06,pendulum,high,yield_a05,fm,,1.0,42,5,20,ilab,210230,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_yield_a05,"i100: yield weight alpha=0.5. Dose-response between alpha=0 (=epi_var, loses 3.3 floor units) and alpha=1 (wins 1.87)."
fm_high_i100_yield_a20,2026-08-16T12:21:06,pendulum,high,yield_a20,fm,,1.0,42,5,20,ilab,210231,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_yield_a20,i100: yield weight alpha=2.0. Tests whether over-weighting length past alpha=1 keeps helping or overshoots.
